Hour,Export,,,Import,,,Export [MW/MWmax],,,Import [MW/MWmax],,
184,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
185,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
186,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
187,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
188,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
189,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
190,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
191,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
192,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
193,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
194,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
195,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
196,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
197,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
198,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
199,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
200,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
201,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
202,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
203,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
204,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
205,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
206,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
207,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
208,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
209,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
210,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
211,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
212,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
213,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
214,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
215,1250,1100,1100,3200,3200,3200,0.892857143,0.785714286,0.785714286,1,1,1
216,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
217,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
218,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
219,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
220,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
221,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
222,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
223,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
224,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
225,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
226,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
227,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
228,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
229,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
230,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
231,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
232,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
233,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
234,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
235,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
236,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
237,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
238,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
239,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
240,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
241,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
242,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
243,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
244,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
245,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
246,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
247,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
248,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
249,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
250,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
251,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
252,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
253,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
254,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
255,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
256,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
257,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
258,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
259,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
260,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
261,1200,1100,1300,3200,3200,3200,0.857142857,0.785714286,0.928571429,1,1,1
262,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
263,1200,1100,1100,3200,3200,3200,0.857142857,0.785714286,0.785714286,1,1,1
264,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
265,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
266,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
267,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
268,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
269,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
270,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
271,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
272,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
273,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
274,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
275,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
276,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
277,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
278,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
279,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
280,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
281,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
282,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
283,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
284,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
285,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
286,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
287,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
288,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
289,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
290,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
291,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
292,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
293,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
294,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
295,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
296,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
297,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
298,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
299,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
300,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
301,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
302,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
303,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
304,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
305,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
306,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
307,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
308,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
309,1250,1100,1400,3200,3200,3200,0.892857143,0.785714286,1,1,1,1
310,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
311,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
312,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
313,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
314,1250,1100,1200,3200,3200,3200,0.892857143,0.785714286,0.857142857,1,1,1
