Hour,Export [MW],,,Import [MW],,,Export [MW/MWmax],,,Import [MW/MWmax],,
216,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
217,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
218,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
219,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
220,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
221,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
222,5200,5200,5200,1336,936,2200,1,1,1,0.4175,0.2925,0.6875
223,5200,5200,5200,1336,1436,2200,1,1,1,0.4175,0.44875,0.6875
224,5200,5200,5200,1336,1436,2200,1,1,1,0.4175,0.44875,0.6875
225,5200,5200,5200,1336,1436,2200,1,1,1,0.4175,0.44875,0.6875
226,5200,5200,5200,1336,1436,2200,1,1,1,0.4175,0.44875,0.6875
227,5200,5200,5200,1336,1436,2400,1,1,1,0.4175,0.44875,0.75
228,5200,5200,5200,1336,1436,2400,1,1,1,0.4175,0.44875,0.75
229,5200,5200,5200,1336,1436,2400,1,1,1,0.4175,0.44875,0.75
230,5200,5200,5200,1336,1436,2400,1,1,1,0.4175,0.44875,0.75
231,5200,5200,5200,1336,1436,2800,1,1,1,0.4175,0.44875,0.875
232,5200,5200,5200,1336,1436,2800,1,1,1,0.4175,0.44875,0.875
233,5200,5200,5200,1336,1436,2800,1,1,1,0.4175,0.44875,0.875
234,5200,5200,5200,1336,1436,2900,1,1,1,0.4175,0.44875,0.90625
235,5200,5200,5200,1336,1436,2500,1,1,1,0.4175,0.44875,0.78125
236,5200,5200,5200,1336,1436,2500,1,1,1,0.4175,0.44875,0.78125
237,5200,5200,5200,1336,1436,2500,1,1,1,0.4175,0.44875,0.78125
238,5200,5200,5200,1336,1436,2500,1,1,1,0.4175,0.44875,0.78125
239,5200,5200,5200,1336,936,2500,1,1,1,0.4175,0.2925,0.78125
240,5200,5200,5200,1336,936,2900,1,1,1,0.4175,0.2925,0.90625
241,5200,5200,5200,1336,936,2800,1,1,1,0.4175,0.2925,0.875
242,5200,5200,5200,1336,936,2400,1,1,1,0.4175,0.2925,0.75
243,5200,5200,5200,1336,936,2400,1,1,1,0.4175,0.2925,0.75
244,5200,5200,5200,1336,936,2000,1,1,1,0.4175,0.2925,0.625
245,5200,5200,5200,1336,936,2000,1,1,1,0.4175,0.2925,0.625
246,5200,5200,5200,1336,936,1600,1,1,1,0.4175,0.2925,0.5
247,5200,5200,5200,1336,1536,1400,1,1,1,0.4175,0.48,0.4375
248,5200,5200,5200,1336,2136,1400,1,1,1,0.4175,0.6675,0.4375
249,5200,5200,5200,1336,2136,1400,1,1,1,0.4175,0.6675,0.4375
250,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
251,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
252,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
253,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
254,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
255,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
256,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
257,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
258,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
259,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
260,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
261,5200,5200,5200,1336,2136,1200,1,1,1,0.4175,0.6675,0.375
262,5200,5200,5200,1336,1536,1200,1,1,1,0.4175,0.48,0.375
263,5200,5200,5200,1336,936,1200,1,1,1,0.4175,0.2925,0.375
264,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
265,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
266,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
267,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
268,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
269,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
270,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
271,5200,5200,5200,1636,1536,1200,1,1,1,0.51125,0.48,0.375
272,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
273,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
274,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
275,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
276,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
277,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
278,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
279,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
280,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
281,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
282,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
283,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
284,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
285,5200,5200,5200,1636,2136,1200,1,1,1,0.51125,0.6675,0.375
286,5200,5200,5200,1436,1536,1200,1,1,1,0.44875,0.48,0.375
287,5200,5200,5200,1436,936,1200,1,1,1,0.44875,0.2925,0.375
288,5200,5200,5200,1536,936,1600,1,1,1,0.48,0.2925,0.5
289,5200,5200,5200,1536,936,1600,1,1,1,0.48,0.2925,0.5
290,5200,5200,5200,1536,936,1600,1,1,1,0.48,0.2925,0.5
291,5200,5200,5200,1536,936,1200,1,1,1,0.48,0.2925,0.375
292,5200,5200,5200,1536,936,1200,1,1,1,0.48,0.2925,0.375
293,5200,5200,5200,1536,936,1200,1,1,1,0.48,0.2925,0.375
294,5200,5200,5200,1536,936,1200,1,1,1,0.48,0.2925,0.375
295,5200,5200,5200,1736,1536,1200,1,1,1,0.5425,0.48,0.375
296,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
297,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
298,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
299,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
300,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
301,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
302,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
303,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
304,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
305,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
306,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
307,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
308,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
309,5200,5200,5200,1736,2136,1200,1,1,1,0.5425,0.6675,0.375
310,5200,5200,5200,1536,1536,1200,1,1,1,0.48,0.48,0.375
311,5200,5200,5200,1536,936,1200,1,1,1,0.48,0.2925,0.375
312,5200,5200,5200,1436,936,1500,1,1,1,0.44875,0.2925,0.46875
313,5200,5200,5200,1436,936,1750,1,1,1,0.44875,0.2925,0.546875
314,5200,5200,5200,1436,936,1800,1,1,1,0.44875,0.2925,0.5625
315,5200,5200,5200,1436,936,1800,1,1,1,0.44875,0.2925,0.5625
316,5200,5200,5200,1436,936,1800,1,1,1,0.44875,0.2925,0.5625
317,5200,5200,5200,1436,936,1800,1,1,1,0.44875,0.2925,0.5625
318,5200,5200,5200,1436,936,1800,1,1,1,0.44875,0.2925,0.5625
319,5200,5200,5200,1636,1536,1800,1,1,1,0.51125,0.48,0.5625
320,5200,5200,5200,1636,2136,1800,1,1,1,0.51125,0.6675,0.5625
321,5200,5200,5200,1636,2136,1800,1,1,1,0.51125,0.6675,0.5625
322,5200,5200,5200,1636,2136,1800,1,1,1,0.51125,0.6675,0.5625
323,5200,5200,5200,1636,2136,1800,1,1,1,0.51125,0.6675,0.5625
324,5200,5200,5200,1636,2136,1800,1,1,1,0.51125,0.6675,0.5625
325,5200,5200,5200,1636,2136,1800,1,1,1,0.51125,0.6675,0.5625
326,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
327,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
328,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
329,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
330,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
331,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
332,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
333,5200,5200,5200,1636,2136,2200,1,1,1,0.51125,0.6675,0.6875
334,5200,5200,5200,1436,1536,2200,1,1,1,0.44875,0.48,0.6875
335,5200,5200,5200,1436,936,2200,1,1,1,0.44875,0.2925,0.6875
336,5200,5200,5200,1436,936,2200,1,1,1,0.44875,0.2925,0.6875
