,Export,,,Import,,,Export [MW/MWmax],,,Import [MW/MWmax],,
239,3710,3710,3702,1910,1910,1910,0.875,0.818623124,0.816857899,1,1,1
240,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
241,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
242,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
243,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
244,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
245,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
246,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
247,3710,4240,4240,1910,1810,1810,0.875,0.935569285,0.935569285,1,0.947643979,0.947643979
248,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
249,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
250,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
251,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
252,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
253,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
254,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
255,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
256,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
257,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
258,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
259,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
260,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
261,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
262,3710,4040,4240,1910,1810,1810,0.875,0.891438658,0.935569285,1,0.947643979,0.947643979
263,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
264,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
265,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
266,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
267,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
268,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
269,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
270,3710,3510,3710,1910,1910,1910,0.875,0.774492498,0.818623124,1,1,1
271,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
272,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
273,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
274,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
275,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
276,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
277,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
278,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
279,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
280,4080,4040,4240,1810,1810,1810,0.962264151,0.891438658,0.935569285,0.947643979,0.947643979,0.947643979
